Country Name,Series Name,2023 [YR2023]
"Congo, Dem. Rep.","Population, total",102262808
"Congo, Rep.","GDP, PPP (current international $)",42338545430
"Congo, Rep.","Population, total",6106869
Costa Rica,"GDP, PPP (current international $)",1.45693E+11
Costa Rica,"Population, total",5212173
Cote d'Ivoire,"GDP, PPP (current international $)",2.24946E+11
Cote d'Ivoire,"Population, total",28873034
Croatia,"GDP, PPP (current international $)",1.76899E+11
Croatia,"Population, total",3853200
Cuba,"GDP, PPP (current international $)",..
Cuba,"Population, total",11194449
Curacao,"GDP, PPP (current international $)",..
Curacao,"Population, total",147862
Cyprus,"GDP, PPP (current international $)",53033142805
Cyprus,"Population, total",1260138
Czechia,"GDP, PPP (current international $)",5.85187E+11
Czechia,"Population, total",10873689
Data from database: World Development Indicators,,
Denmark,"GDP, PPP (current international $)",4.56059E+11
Denmark,"Population, total",5946952
Djibouti,"GDP, PPP (current international $)",8187076865
Djibouti,"Population, total",1136455
Dominica,"GDP, PPP (current international $)",1285404930
Dominica,"Population, total",73040
Dominican Republic,"GDP, PPP (current international $)",2.90243E+11
Dominican Republic,"Population, total",11332972
Early-demographic dividend,"GDP, PPP (current international $)",4.56563E+13
Early-demographic dividend,"Population, total",3486290439
East Asia & Pacific,"GDP, PPP (current international $)",5.98276E+13
East Asia & Pacific,"Population, total",2380601170
East Asia & Pacific (excluding high income),"GDP, PPP (current international $)",4.53844E+13
East Asia & Pacific (excluding high income),"Population, total",2133652241
East Asia & Pacific (IDA & IBRD countries),"GDP, PPP (current international $)",4.5328E+13
East Asia & Pacific (IDA & IBRD countries),"Population, total",2107522258
Ecuador,"GDP, PPP (current international $)",2.88688E+11
Ecuador,"Population, total",18190484
"Egypt, Arab Rep.","GDP, PPP (current international $)",2.12093E+12
"Egypt, Arab Rep.","Population, total",112716598
El Salvador,"GDP, PPP (current international $)",79831081963
El Salvador,"Population, total",6364943
Equatorial Guinea,"GDP, PPP (current international $)",32104894669
Equatorial Guinea,"Population, total",1714671
Eritrea,"GDP, PPP (current international $)",..
Eritrea,"Population, total",3748901
Estonia,"GDP, PPP (current international $)",66932475062
Estonia,"Population, total",1366188
Eswatini,"GDP, PPP (current international $)",14216037436
Eswatini,"Population, total",1210822
Ethiopia,"GDP, PPP (current international $)",3.93408E+11
Ethiopia,"Population, total",126527060
Euro area,"GDP, PPP (current international $)",2.19274E+13
Euro area,"Population, total",350357398
Europe & Central Asia,"GDP, PPP (current international $)",4.59707E+13
Europe & Central Asia,"Population, total",923929755
Europe & Central Asia (excluding high income),"GDP, PPP (current international $)",6.9062E+12
Europe & Central Asia (excluding high income),"Population, total",247474425
